0 x y z
1 -11.2 -52.4 36.5
2 -18.8 -48.7 65
3 -51.8 -7.8 38.5
4 -11.7 26.7 57
5 -18.4 -85.5 21.6
6 -47.2 -58 30.8
7 -38.1 48.8 10.5
8 -16.8 -60.1 -5.4
9 -55.9 -47.7 -9.3
10 -32 -29.3 15.6
11 -29.3 5.3 -27.4
12 -6.1 -26 28.5
13 -14.4 -57.8 18.4
14 -8.8 -49.8 4.2
15 -11.3 -83.2 3.9
16 -22 -58.1 1.5
17 -9.6 -58 3
18 -29 -35.9 -8.3
19 -18.5 -39.2 -1.1
20 -16.7 -46 -3.7
21 -16.6 -36.1 42.7
22 -9.4 -0.1 42.9
23 -3.8 12.1 64.6
24 -5.5 29.3 44
25 -5.6 42.2 35.1
26 -1.7 -17.7 39.1
27 -8.4 14.6 33.8
28 -9 25.3 27.7
29 -10 33.9 21.5
30 -10.7 -47.5 60.3
31 -15.6 -33.1 66.1
32 -10.9 -29.3 69.5
33 -6.6 -20.4 74.2
34 -8 -8.7 62.9
35 -10.8 -41.1 64.9
36 -5 -28.2 60.4
37 -5.4 -15.9 48.8
38 -35.8 -29.7 54.5
39 -41.5 -12.5 50.4
40 -42.1 -4.5 47.3
41 -27.3 -6.8 46.3
42 -27.3 1.9 52.9
43 -19.8 6.4 55.7
44 -19.5 30.1 45.5
45 -36.8 -22.8 61.9
46 -20.5 -24.9 64.5
47 -23.4 -13.8 64.2
48 -17.2 -8.6 67.9
49 -21.3 -0.2 62.7
50 -28.6 -44.7 61.7
51 -31.1 -48.9 47.1
52 -42.9 -45 43
53 -51.5 -11.9 29.7
54 -54.1 -21.3 40.8
55 -51.7 -30.9 39.9
56 -35.2 -35.3 42
57 -27.5 -37.2 61.4
58 -47.2 -31.4 54.8
59 -46.1 -17.8 52.7
60 -44.8 -54 14.6
61 -51.6 -55.9 11.4
62 -48.1 -40 2.4
63 -57.7 -40.6 35.8
64 -46.3 -41.4 25.9
65 -35.8 -33.5 19.9
66 -52.7 -20.6 5.4
67 -59.6 -38.5 16.5
68 -58.7 -29.9 11.1
69 -40.6 -38.3 14.5
70 -33.7 -21.8 9.9
71 -38.7 -16 -5.3
72 -39.1 -1.6 -12.2
73 -33.6 17.2 -31.5
74 -43.6 36.3 8.5
75 -50 20.8 10.6
76 -37.7 2.9 11.7
77 -37.2 -14 19.4
78 -40.3 50.4 -4.8
79 -47.2 39 -9.1
80 -29.1 20.5 -14
81 -36.6 1.4 6.4
82 -37.3 8.9 -0.9
83 -32.5 17.2 -7.8
84 -28.8 23.7 8.4
85 -44.3 33.2 -7.2
86 -45.4 28.8 0.8
87 -20.4 -64.6 51.4
88 -25.8 -65 32.2
89 -12.7 -64.9 31.8
90 -13.7 -77.4 26.6
91 -9.9 -56.9 59.8
92 -7.1 -63.7 54.9
93 -10.9 -73.4 42.9
94 -39.3 -73.9 38.3
95 -30 -74.1 36.1
96 -34.1 -61 42.4
97 -31.3 -84.2 9
98 -34.2 -86.6 -0.5
99 -43.4 -67.6 9.7
100 -46.2 -57.7 -7.9
101 -59.8 -4.1 8.8
102 -52.2 -14.1 15.2
103 -55.1 -32.3 23
104 -50.6 -22.4 19.2
105 -58.8 -23.9 31
106 -45.2 2.7 32.4
107 -34.7 5.6 34
108 -43 19.4 33.5
109 -40.2 23.6 23.3
110 -37.6 38.4 17.2
111 -51.8 -0.6 5
112 -48.6 7.5 11.1
113 -41.6 8.7 22.2
114 -27.5 53.6 0
115 -23.4 61 -6.8
116 -5.9 54.8 -11.3
117 -6.8 38.2 -9.4
118 -31.8 2.6 -16.8
119 -34.7 35.6 -9.6
120 -22.5 32.1 -13.6
121 -23.8 52.2 -12.8
122 -17.3 46.6 -17.9
123 -13.3 24 -16.4
124 -8.9 45.5 -20.8
125 -2.5 33.8 -26.2
126 -63.2 -28.7 -7.2
127 -53.1 -11.4 -16
128 -53.2 -13 -29.2
129 -44.6 9 -37
130 -33.8 -33.2 -15.4
131 -28.8 -58.8 -9.1
132 -34.4 -63.9 -15.7
133 -55.1 -39.6 -16.2
134 -32 -3.9 -45.2
135 -38.6 -13 -26.9
136 -34.3 -43.8 -21.6
137 -5.4 -88 18.6
138 -8.6 -77.5 -3.5
139 -41.2 -72.1 -5.9
140 -25.2 -97.2 -7.9
141 -22.6 -81.7 -11.7
142 -20.5 -12.6 -23.7
143 -22.5 -37.1 -15
144 -22 -21.9 -17.4
145 -15.9 48.6 37.2
146 -19.5 56.3 27.5
147 -26.6 46.8 20.9
148 -21.3 63.1 1.9
149 -28.6 50.9 10.1
150 -6.5 54.7 18.1
151 -15.7 64.7 13.7
152 -6 44.9 6.3
153 -28.8 38.3 28.2
154 -26.2 26.6 38.8
155 -35.7 33.1 32
156 -29.3 16.8 50.7
157 -41.7 16.1 47.5
158 -38.7 4.8 48.4
159 -50.8 6.9 -20.1
160 -54.4 -1.4 -0.7
161 -59 -18 -3
162 12.3 -51.6 34.5
163 20.8 -48.2 66.1
164 49.6 -7.4 36.1
165 11.9 21.9 59.9
166 22 -84.6 23.7
167 47.9 -42.5 41.5
168 38.1 45.9 7.7
169 22.3 -46.5 -9.9
170 59.7 -41 -10.9
171 33.6 -22.3 13
172 32.5 13.6 -30.5
173 7.6 -27 28.4
174 13.8 -54.1 10.9
175 15.5 -74.1 9.4
176 19.6 -45.3 -4.4
177 15.6 -59.6 -5
178 24.9 -35.9 -4.8
179 19.4 -29.9 -9.7
180 16.2 -33.1 43.2
181 6.7 5 55.9
182 7 25.7 47.3
183 8.4 34.7 22.6
184 7.7 44.1 5.5
185 8.6 4.2 40.1
186 3 -19.6 37.9
187 8.8 10.8 45.9
188 6 21.8 32.4
189 10.3 -57.3 58.3
190 16.5 -32.8 67.7
191 4.8 -27.1 64.8
192 16.2 0.8 67.5
193 11.9 -40.7 67
194 5.1 -17.1 51.6
195 6.8 -8.1 50.9
196 8 -6.2 63.7
197 42.3 -11 47.3
198 42.5 -2.3 47.2
199 29.2 1.9 52.4
200 21.9 21 46.2
201 38.1 -22.4 60.3
202 19.7 -25 65.2
203 29.9 -7.8 47.4
204 12.4 -28.3 69.6
205 29.2 -13.5 64.2
206 17 -16.9 70.9
207 20.9 -6.4 65
208 22.6 5.6 57.6
209 29.5 -42.5 60.4
210 34.2 -40.6 51.6
211 38.8 -42.6 40.4
212 53.9 -8.3 26.1
213 39.6 -31.5 39.7
214 28 -34.8 63.1
215 39.2 -34.6 57.5
216 37.3 -25.9 50.9
217 48.7 -26.1 52.2
218 47.8 -15.1 49.3
219 57.5 -40.3 34.7
220 48.9 -53 28.6
221 57.5 -45.3 9
222 60.9 -38.7 1.7
223 54.9 -27 29.6
224 36.4 -30.7 19.4
225 62.5 -25.6 -5.5
226 57.1 -17 -2.6
227 53.8 -15.8 5.2
228 47.4 -39.6 13.2
229 45.5 -37.3 3.4
230 59.2 -38.6 14.6
231 48.5 -26.5 -0.1
232 61.7 -24 1.3
233 60 -25.2 10.2
234 38.8 -14.4 -5
235 39.7 1.2 -13.1
236 36.8 37.8 13.1
237 52.5 23.7 10.3
238 36.7 5.2 12.7
239 38.4 -12.2 20
240 42.8 48.3 -5.1
241 48.1 38.3 -9.2
242 45.2 30.7 -5.6
243 27.4 19.7 -14.9
244 36.6 -10 12.4
245 39.6 10.4 -1.6
246 36.5 5.7 6
247 30.6 22.8 -4.7
248 33.7 22.6 3.7
249 34 24.4 10
250 48.1 38.4 2.4
251 26.8 -55 54.2
252 23 -66.4 51.8
253 32.3 -63.6 33.8
254 15.6 -69.5 39.6
255 17.6 -78.3 34
256 7.7 -85.6 31.6
257 7.4 -69.3 49.9
258 35.4 -77.1 21.1
259 46.5 -67.3 36.2
260 41.5 -53.5 44
261 35.7 -56.7 45.2
262 33.5 -48.2 49.4
263 31.7 -85.7 2.4
264 43.8 -67.2 2
265 47.3 -52.4 -11.7
266 57 -53.8 -1.1
267 49 -54.5 8.8
268 60.9 -2.2 10.7
269 54.2 -13.6 16.9
270 53 -22.7 39.1
271 47.3 2 37.6
272 37.8 28.7 35.6
273 41.8 29.1 21.6
274 50.1 3 3.9
275 46.6 7.8 19.3
276 38.6 18.8 25.5
277 28.4 57 -5.1
278 4.8 65.1 -7.1
279 7.2 48.4 -10.1
280 2.9 18.7 -23.2
281 35.1 37.3 -8.4
282 25.4 8.9 -15.7
283 21.2 30.3 -15.2
284 21.6 51.1 -14.1
285 11.9 25.7 -24.8
286 13.5 20.3 -15.2
287 10.9 39.1 -19.7
288 2.2 39 -25.6
289 62.3 -26.4 -16
290 57.5 -7.4 -16.4
291 54.7 -7.8 -26.9
292 45.2 13.6 -30.1
293 31.2 -45.6 -5.8
294 34.6 -35.6 -12.3
295 34.6 -23.9 -20.4
296 20.1 -21.4 -21.5
297 28 -0.4 -37.3
298 26.9 -69.1 -6.6
299 34.9 -44 -20
300 36.8 7.7 -37.9
301 54.5 -9.6 -37
302 56.4 -27 -19.4
303 31.1 2.2 -46.1
304 39.5 -11.9 -29.7
305 31.6 -9.4 -35.5
306 43.4 -24.1 -20.8
307 13.8 -92.3 14.7
308 10.5 -73.8 -1.5
309 20.4 -87.3 -6.6
310 5.1 -80.2 23.1
311 14.6 -70.3 23.3
312 19.5 -10.8 -24.9
313 24.5 -36.2 -13.2
314 30.4 -18.8 -19.4
315 21 32.8 42.1
316 21.4 42.8 35.1
317 24.4 50.8 24.3
318 31.3 39.7 25.6
319 23.5 59.1 4.9
320 30.9 52.2 9.9
321 16 61 19.8
322 8.2 53.8 14
323 5.9 54.9 29.4
324 13.8 46.7 42.1
325 6.8 44.5 34.8
326 30.6 18.9 48.7
327 42.4 19.5 48.2
328 38.9 9.6 42.7
329 39.7 -22.5 2.6
330 55.8 2 -2
331 54.4 1.1 -12.9
332 57.1 -6.3 -7.7
333 46.6 -21.5 -8.5
