,X,Y,Z
0,13,-54,-42
1,31,-49,-41
2,28,-78,-29
3,6,-39,-37
4,20,-68,-40
5,7,-59,-28
6,12,-66,-15
7,7,-23,-26
8,40,-69,-38
9,11,-81,-27
10,-11,-52,-40
11,-26,-79,-31
12,-36,-80,-20
13,-4,-21,-27
14,-44,-53,-36
15,-20,-65,-40
16,-5,-56,-25
17,-27,-49,-41
18,-39,-70,-36
19,-5,-70,-26
20,-7,-35,-29
21,-11,-83,-22
22,-8,-43,-15
23,-3,-40,-45
24,-49,-20,34
25,-40,-23,53
26,-22,-24,59
27,-57,-9,28
28,-5,-23,58
29,-53,1,23
30,-45,-8,41
31,-42,4,48
32,-41,9,31
33,-28,-7,54
34,-24,11,51
35,-14,-2,63
36,-5,12,57
37,-5,-4,45
38,-35,-49,48
39,-28,-60,36
40,-27,-40,53
41,-21,-56,57
42,-15,-71,46
43,-14,-68,29
44,-12,-39,64
45,-6,-55,52
46,-3,-67,38
47,-38,24,42
48,-21,25,40
49,-15,33,48
50,-3,29,47
51,-45,26,24
52,-27,36,31
53,-10,47,36
54,-38,42,26
55,-32,50,-1
56,-27,48,18
57,-16,60,3
58,-12,55,-13
59,-10,57,20
60,-7,47,0
61,-9,40,-20
62,-7,20,-17
63,-39,-11,13
64,-36,7,-1
65,-35,-12,0
66,-22,-64,11
67,-29,-91,0
68,-20,-91,15
69,-19,-84,-9
70,-8,-64,7
71,-7,-95,0
72,-7,-69,-11
73,-5,-79,2
74,-4,-90,15
75,-3,-75,19
76,-46,-69,5
77,-42,-72,24
78,-39,-76,-3
79,-37,-82,15
80,-27,-76,32
81,-26,-67,-20
82,-23,-65,-4
83,-16,-48,2
84,-10,-83,32
85,-4,-52,-5
86,-49,-11,-26
87,-57,-43,7
88,-56,-12,-10
89,-56,-29,-13
90,-54,-27,3
91,-52,0,2
92,-8,-56,21
93,-4,-17,29
94,-4,-33,32
95,-4,27,14
96,-4,4,24
97,-6,-42,17
98,-8,-40,47
99,-8,-22,42
100,-6,-49,36
101,-7,30,29
102,-6,42,17
103,-6,32,-7
104,-5,12,35
105,-32,-15,-24
106,-57,-48,-9
107,-53,-59,-2
108,-46,-63,-23
109,-42,-38,-16
110,-40,-55,-10
111,-32,-46,-24
112,-22,-32,-16
113,-20,-53,-13
114,-46,0,-12
115,-41,8,-26
116,-26,2,-31
117,-54,-49,26
118,-51,-44,41
119,-51,-57,14
120,-48,-60,30
121,-39,-61,44
122,-57,-28,33
123,-57,-24,16
124,-55,-38,23
125,-44,-32,44
126,-55,-11,8
127,-39,-28,15
128,-52,15,14
129,-35,5,11
130,-51,29,6
131,-32,22,4
132,-40,41,11
133,-44,40,-5
134,-44,19,-8
135,-28,35,-12
136,-25,16,-16
137,-14,-15,20
138,-12,7,13
139,-11,18,2
140,-23,4,2
141,-10,4,-6
142,-18,-35,15
143,-10,-26,3
144,-3,-10,8
145,-23,-5,-15
146,-28,-20,-9
147,-27,-38,-1
148,-4,-24,-9
149,19,-29,64
150,35,-24,57
151,42,-26,38
152,59,-9,23
153,45,-15,42
154,5,12,53
155,7,-11,61
156,17,9,60
157,26,-9,60
158,29,1,51
159,39,4,32
160,44,-5,49
161,52,-2,35
162,53,5,22
163,6,-67,42
164,6,-52,50
165,7,-40,62
166,21,-56,55
167,23,-66,49
168,24,-46,61
169,31,-37,47
170,38,-50,45
171,6,30,37
172,15,32,50
173,22,31,33
174,25,17,46
175,37,29,41
176,42,12,46
177,6,45,21
178,14,48,36
179,24,48,25
180,37,37,26
181,50,23,27
182,8,42,2
183,13,60,0
184,13,58,17
185,29,52,-5
186,32,49,12
187,43,43,-2
188,5,30,-6
189,6,41,-17
190,8,24,-19
191,11,53,-16
192,34,15,-6
193,39,4,4
194,40,-6,14
195,41,-11,0
196,8,-87,11
197,10,-71,12
198,26,-58,10
199,6,-52,-6
200,8,-76,26
201,9,-76,-1
202,20,-84,-17
203,23,-90,-3
204,25,-94,9
205,40,-84,8
206,14,-58,0
207,19,-77,37
208,24,-70,-3
209,28,-80,22
210,43,-73,27
211,43,-75,-5
212,47,-71,9
213,36,-16,-25
214,46,0,-29
215,46,-53,-33
216,50,-32,3
217,55,-14,-20
218,58,-29,-12
219,62,-40,0
220,55,-17,-3
221,56,0,2
222,62,-29,12
223,6,-42,19
224,6,-39,37
225,7,-18,30
226,12,-55,16
227,7,-6,43
228,6,-54,31
229,9,-28,45
230,17,-63,27
231,6,11,30
232,7,30,17
233,11,-43,-17
234,15,-43,3
235,25,-49,-7
236,28,-36,-20
237,33,-55,-22
238,33,-69,-14
239,40,-34,-16
240,43,-57,-9
241,47,-72,-24
242,54,-56,0
243,54,-48,-14
244,54,-44,11
245,29,0,-32
246,37,12,-24
247,50,1,-13
248,33,-67,38
249,48,-59,34
250,48,-57,17
251,58,-47,24
252,48,-29,18
253,49,-31,49
254,51,-46,40
255,57,-20,31
256,58,-34,30
257,37,-22,15
258,55,-13,11
259,36,17,29
260,52,13,12
261,35,19,8
262,46,37,13
263,18,12,-15
264,26,33,-13
265,43,24,-11
266,52,25,3
267,12,17,4
268,14,0,17
269,24,5,1
270,29,-8,-1
271,5,-13,7
272,8,-25,-7
273,15,-30,15
274,25,-2,-16
275,27,-19,-11
276,30,-36,0
277,8,1,-4
