	community	roi	community_id	roi_origindex	roi_index(on17networkmask)
1	Vis	2	0	2	1
2	Vis	5	0	5	2
3	Vis	7	0	7	3
4	Vis	9	0	9	4
5	Vis	11	0	11	5
6	Vis	14	0	14	6
7	Vis	1	0	1	7
8	Vis	4	0	4	8
9	Vis	6	0	6	9
10	Vis	10	0	10	10
11	Vis	12	0	12	11
12	Vis	13	0	13	12
13	SomMot	8	1	22	13
14	SomMot	9	1	23	14
15	SomMot	10	1	24	15
16	SomMot	12	1	26	16
17	SomMot	13	1	27	17
18	SomMot	14	1	28	18
19	SomMot	15	1	29	19
20	SomMot	16	1	30	20
21	SomMot	1	1	15	21
22	SomMot	2	1	16	22
23	SomMot	3	1	17	23
24	SomMot	4	1	18	24
25	SalVentAttn	ParOper_1	3	44	25
26	SomMot	5	1	19	26
27	SomMot	6	1	20	27
28	SomMot	7	1	21	28
29	DorsAttn	Post_1	2	31	29
30	Vis	3	0	3	30
31	Vis	8	0	8	31
32	DorsAttn	Post_3	2	33	32
33	DorsAttn	Post_7	2	37	33
34	DorsAttn	Post_8	2	38	34
35	DorsAttn	Post_4	2	34	35
36	DorsAttn	Post_5	2	35	36
37	SomMot	11	1	25	37
38	DorsAttn	Post_10	2	40	38
39	DorsAttn	FEF_1	2	41	39
40	SalVentAttn	ParOper_2	3	45	40
41	SalVentAttn	FrOper_1	3	47	41
42	SalVentAttn	FrOper_3	3	49	42
43	SalVentAttn	FrOper_4	3	50	43
44	SalVentAttn	Med_2	3	53	44
45	SalVentAttn	Med_1	3	52	45
46	SalVentAttn	Med_3	3	54	46
47	SalVentAttn	ParOper_3	3	46	47
48	SalVentAttn	PFCl_1	3	51	48
49	SalVentAttn	FrOper_2	3	48	49
50	Default	PFC_8	6	90	50
51	Limbic	OFC_1	4	55	51
52	Limbic	OFC_2	4	56	52
53	Limbic	TempPole_1	4	57	53
54	Limbic	TempPole_2	4	58	54
55	Limbic	TempPole_3	4	59	55
56	Limbic	TempPole_4	4	60	56
57	DorsAttn	Post_2	2	32	57
58	Cont	Par_2	5	62	58
59	Cont	Par_3	5	63	59
60	DorsAttn	Post_6	2	36	60
61	DorsAttn	FEF_2	2	42	61
62	Cont	PFCl_4	5	68	62
63	Cont	PFCl_5	5	69	63
64	DorsAttn	PrCv_1	2	43	64
65	Cont	PFCl_6	5	70	65
66	Cont	Cing_2	5	73	66
67	Cont	Temp_1	5	64	67
68	Cont	Par_1	5	61	68
69	Default	PFC_11	6	93	69
70	Cont	PFCl_2	5	66	70
71	Cont	PFCl_3	5	67	71
72	Cont	pCun_1	5	71	72
73	DorsAttn	Post_9	2	39	73
74	Cont	Cing_1	5	72	74
75	Default	Temp_9	6	82	75
76	Default	PFC_12	6	94	76
77	Default	PCC_2	6	97	77
78	Default	PCC_3	6	98	78
79	Default	PCC_4	6	99	79
80	Default	PFC_2	6	84	80
81	Default	PFC_4	6	86	81
82	Default	PFC_6	6	88	82
83	Default	Temp_1	6	74	83
84	Default	Temp_2	6	75	84
85	Default	Temp_3	6	76	85
86	Default	Temp_4	6	77	86
87	Default	Temp_8	6	81	87
88	Default	PFC_7	6	89	88
89	Default	PFC_9	6	91	89
90	Default	PFC_10	6	92	90
91	Default	PFC_13	6	95	91
92	Default	PFC_1	6	83	92
93	Cont	PFCl_1	5	65	93
94	Default	PFC_3	6	85	94
95	Default	PFC_5	6	87	95
96	Default	Temp_7	6	80	96
97	Default	PCC_1	6	96	97
98	Default	PHC_1	6	100	98
99	Default	Temp_5	6	78	99
100	Default	Temp_6	6	79	100
101	Vis	3	0	103	101
102	Vis	5	0	105	102
103	Vis	6	0	106	103
104	Vis	8	0	108	104
105	Vis	11	0	111	105
