	community	roi	community_id
1	VisCent	ExStr_1	0
2	VisCent	ExStr_2	0
3	VisCent	ExStr_3	0
4	VisCent	ExStr_4	0
5	VisCent	ExStr_5	0
6	VisCent	ExStr_6	0
7	VisCent	ExStr_7	0
8	VisCent	ExStr_8	0
9	VisCent	ExStr_9	0
10	VisCent	ExStr_10	0
11	VisCent	ExStr_11	0
12	VisPeri	ExStrSup_1	1
13	VisPeri	ExStrSup_2	1
14	VisPeri	ExStrSup_3	1
15	VisPeri	ExStrSup_4	1
16	VisPeri	ExStrSup_5	1
17	VisPeri	ExStrSup_6	1
18	VisPeri	ExStrSup_7	1
19	VisPeri	ExStrSup_8	1
20	VisPeri	ExStrSup_9	1
21	SomMotA	1	2
22	SomMotA	2	2
23	SomMotA	3	2
24	SomMotA	4	2
25	SomMotA	5	2
26	SomMotA	6	2
27	SomMotA	7	2
28	SomMotA	8	2
29	SomMotA	9	2
30	SomMotA	10	2
31	SomMotA	11	2
32	SomMotA	12	2
33	SomMotA	13	2
34	SomMotA	14	2
35	SomMotA	15	2
36	SomMotB	Aud_1	3
37	SomMotB	Aud_2	3
38	SomMotB	Aud_3	3
39	SomMotB	Aud_4	3
40	SomMotB	Aud_5	3
41	SomMotB	Aud_6	3
42	SomMotB	Aud_7	3
43	SomMotB	Aud_8	3
44	SomMotB	Aud_9	3
45	SomMotB	Aud_10	3
46	SomMotB	Aud_11	3
47	SomMotB	Aud_12	3
48	DorsAttnA	TempOcc_1	4
49	DorsAttnA	TempOcc_2	4
50	DorsAttnA	TempOcc_3	4
51	DorsAttnA	ParOcc_1	4
52	DorsAttnA	SPL_1	4
53	DorsAttnA	SPL_2	4
54	DorsAttnA	SPL_3	4
55	DorsAttnA	SPL_4	4
56	DorsAttnB	TempOcc_1	5
57	DorsAttnB	PostC_1	5
58	DorsAttnB	PostC_2	5
59	DorsAttnB	PostC_3	5
60	DorsAttnB	PostC_4	5
61	DorsAttnB	PostC_5	5
62	DorsAttnB	FEF_1	5
63	DorsAttnB	FEF_2	5
64	SalVentAttnA	ParOper_1	6
65	SalVentAttnA	ParOper_2	6
66	SalVentAttnA	Ins_1	6
67	SalVentAttnA	Ins_2	6
68	SalVentAttnA	Ins_3	6
69	SalVentAttnA	Ins_4	6
70	SalVentAttnA	ParMed_1	6
