	community	roi	commmunity_id
1	VisCent	ExStr_1	0
2	VisCent	ExStr_2	0
3	VisCent	ExStr_3	0
4	VisCent	ExStr_4	0
5	VisCent	ExStr_5	0
6	VisCent	ExStr_6	0
7	VisCent	ExStr_7	0
8	VisCent	ExStr_8	0
9	VisCent	ExStr_9	0
10	VisCent	ExStr_10	0
11	VisCent	ExStr_11	0
12	VisCent	ExStr_12	0
13	VisPeri	ExStrSup_1	1
14	VisPeri	ExStrSup_2	1
15	VisPeri	ExStrSup_3	1
16	VisPeri	ExStrSup_4	1
17	VisPeri	ExStrSup_5	1
18	VisPeri	ExStrSup_6	1
19	VisPeri	ExStrSup_7	1
20	VisPeri	ExStrSup_8	1
21	VisPeri	ExStrSup_9	1
22	VisPeri	ExStrSup_10	1
23	VisPeri	ExStrSup_11	1
24	VisPeri	ExStrSup_12	1
25	SomMotA	1	2
26	SomMotA	2	2
27	SomMotA	3	2
28	SomMotA	4	2
29	SomMotA	5	2
30	SomMotA	6	2
31	SomMotA	7	2
32	SomMotA	8	2
33	SomMotA	9	2
34	SomMotA	10	2
35	SomMotA	11	2
36	SomMotA	12	2
37	SomMotA	13	2
38	SomMotA	14	2
39	SomMotA	15	2
40	SomMotA	16	2
41	SomMotA	17	2
42	SomMotA	18	2
43	SomMotA	19	2
44	SomMotB	Aud_1	3
45	SomMotB	Aud_2	3
46	SomMotB	Aud_3	3
47	SomMotB	Aud_4	3
48	SomMotB	Aud_5	3
49	SomMotB	Aud_6	3
50	SomMotB	Aud_7	3
51	SomMotB	Aud_8	3
52	SomMotB	Aud_9	3
53	SomMotB	Aud_10	3
54	SomMotB	Aud_11	3
55	SomMotB	Aud_12	3
56	SomMotB	Aud_13	3
57	SomMotB	Aud_14	3
58	SomMotB	Aud_15	3
59	SomMotB	Aud_16	3
60	DorsAttnA	TempOcc_1	4
61	DorsAttnA	TempOcc_2	4
62	DorsAttnA	TempOcc_3	4
63	DorsAttnA	TempOcc_4	4
64	DorsAttnA	ParOcc_1	4
65	DorsAttnA	SPL_1	4
66	DorsAttnA	SPL_2	4
67	DorsAttnA	SPL_3	4
68	DorsAttnA	SPL_4	4
69	DorsAttnA	SPL_5	4
70	DorsAttnA	SPL_6	4
71	DorsAttnA	SPL_7	4
72	DorsAttnA	SPL_8	4
