	community	roi	community_id	commmunity_id
1	Vis	1	1	0
2	Vis	2	2	0
3	Vis	3	3	0
4	Vis	4	4	0
5	Vis	5	5	0
6	Vis	6	6	0
7	Vis	7	7	0
8	Vis	8	8	0
9	Vis	9	9	0
10	Vis	10	10	0
11	Vis	11	11	0
12	Vis	12	12	0
13	Vis	13	13	0
14	Vis	14	14	0
15	Vis	15	15	0
16	Vis	16	16	0
17	Vis	17	17	0
18	Vis	18	18	0
19	Vis	19	19	0
20	Vis	20	20	0
21	Vis	21	21	0
22	Vis	22	22	0
23	Vis	23	23	0
24	Vis	24	24	0
25	Vis	25	25	0
26	Vis	26	26	0
27	Vis	27	27	0
28	Vis	28	28	0
29	Vis	29	29	0
30	Vis	30	30	0
31	Vis	31	31	0
32	Vis	32	32	0
33	Vis	33	33	0
34	Vis	34	34	0
35	Vis	35	35	0
36	Vis	36	36	0
37	Vis	37	37	0
38	Vis	38	38	0
39	Vis	39	39	0
40	Vis	40	40	0
41	Vis	41	41	0
42	Vis	42	42	0
43	Vis	43	43	0
44	Vis	44	44	0
45	Vis	45	45	0
46	SomMot	1	1	1
47	SomMot	2	2	1
48	SomMot	3	3	1
49	SomMot	4	4	1
50	SomMot	5	5	1
51	SomMot	6	6	1
52	SomMot	7	7	1
53	SomMot	8	8	1
54	SomMot	9	9	1
55	SomMot	10	10	1
56	SomMot	11	11	1
57	SomMot	12	12	1
58	SomMot	13	13	1
59	SomMot	14	14	1
60	SomMot	15	15	1
61	SomMot	16	16	1
62	SomMot	17	17	1
63	SomMot	18	18	1
64	SomMot	19	19	1
65	SomMot	20	20	1
66	SomMot	21	21	1
67	SomMot	22	22	1
68	SomMot	23	23	1
69	SomMot	24	24	1
70	SomMot	25	25	1
71	SomMot	26	26	1
72	SomMot	27	27	1
73	SomMot	28	28	1
74	SomMot	29	29	1
75	SomMot	30	30	1
76	SomMot	31	31	1
77	SomMot	32	32	1
78	SomMot	33	33	1
79	SomMot	34	34	1
80	SomMot	35	35	1
81	SomMot	36	36	1
82	SomMot	37	37	1
83	SomMot	38	38	1
84	SomMot	39	39	1
85	SomMot	40	40	1
86	SomMot	41	41	1
87	SomMot	42	42	1
88	SomMot	43	43	1
89	SomMot	44	44	1
90	SomMot	45	45	1
91	SomMot	46	46	1
92	SomMot	47	47	1
93	SomMot	48	48	1
94	SomMot	49	49	1
95	SomMot	50	50	1
96	SomMot	51	51	1
97	SomMot	52	52	1
98	SomMot	53	53	1
99	SomMot	54	54	1
100	SomMot	55	55	1
101	SomMot	56	56	1
102	DorsAttn	Post_1	Post_1	2
103	DorsAttn	Post_2	Post_2	2
104	DorsAttn	Post_3	Post_3	2
105	DorsAttn	Post_4	Post_4	2
106	DorsAttn	Post_5	Post_5	2
107	DorsAttn	Post_6	Post_6	2
108	DorsAttn	Post_7	Post_7	2
109	DorsAttn	Post_8	Post_8	2
110	DorsAttn	Post_9	Post_9	2
111	DorsAttn	Post_10	Post_10	2
112	DorsAttn	Post_11	Post_11	2
113	DorsAttn	Post_12	Post_12	2
114	DorsAttn	Post_13	Post_13	2
115	DorsAttn	Post_14	Post_14	2
116	DorsAttn	Post_15	Post_15	2
117	DorsAttn	Post_16	Post_16	2
118	DorsAttn	Post_17	Post_17	2
119	DorsAttn	Post_18	Post_18	2
120	DorsAttn	Post_19	Post_19	2
121	DorsAttn	Post_20	Post_20	2
122	DorsAttn	Post_21	Post_21	2
123	DorsAttn	Post_22	Post_22	2
124	DorsAttn	Post_23	Post_23	2
